Project Title,Administering  IC,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Contact PI  Person ID,Contact PI / Project Leader,Organization Name,FY,FY Total Cost 
SOCIAL SUPPORT SCALE DEVELOPMENT FOR PERSONS WITH SERIOUS MENTAL ILLNESS,NIMH,1R15MH095011-01A1,1,R15,MH,95011,1,A1,10515851,"CHRONISTER, JULIE ANNE",SAN FRANCISCO STATE UNIVERSITY,2012,468086
DEFINING PP1 PHOSPHATASE FUNCTION IN PATERNAL MEIOTIC CHROMOSOME SEGREGATION,NICHD,1R15HD068996-01,1,R15,HD,68996,1,,1903287,"CHU, DIANA S",SAN FRANCISCO STATE UNIVERSITY,2011,460247
A GENETIC MODEL FOR INVESTIGATING GAMMA-SECRETASE,NIA,2R15AG028448-02,2,R15,AG,28448,2,,8445987,"CHUNG, HUI-MIN MARIA",UNIVERSITY OF WEST FLORIDA,2010,364266
NATURALLY OCCURRING DOG MODEL FOR JUVENILE DERMATOMYOSITIS,NIAMS,1R15AR062868-01A1,1,R15,AR,62868,1,A1,10513720,"CLARK, LEIGH ANNE",CLEMSON UNIVERSITY,2013,305861
CHARACTERIZING THE PROTECTIVE EFFECTS OF CAFFEINE AND OTHER NATURAL PRODUCTS IN A,NIDCD,1R15DC013900-01,1,R15,DC,13900,1,,6893126,"COFFIN, ALLISON B",WASHINGTON STATE UNIVERSITY,2014,444845
OSTEOPROTEGERIN IN BREAST CANCER CELLS: ROLE IN TUMOR GROWTH AND METASTASIS,NCI,1R15CA161486-01A1,1,R15,CA,161486,1,A1,10114005,"CONNELLY, LINDA ",UNIVERSITY OF HAWAII AT HILO,2012,410100
LEARNING WORDS WITH MULTIPLE MEANINGS: INPUT AND PROCESSING IN CHILDHOOD,NICHD,1R15HD077519-01,1,R15,HD,77519,1,,9655827,"CONWELL, ERIN ROSE",NORTH DAKOTA STATE UNIVERSITY,2013,434999
COMPARATIVE EFFECTS OF RESISTANCE TRAINING PROTOCOLS IN OLDER ADULTS AT RISK OF M,NIA,1R15AG040700-01A1,1,R15,AG,40700,1,A1,10622366,"COOK, SUMMER B.",UNIVERSITY OF NEW HAMPSHIRE,2012,360236
EFFECTS OF HIBERNATION ON HEMOSTASIS IN 13-LINED GROUND SQUIRRELS,NHLBI,2R15HL093680-02,2,R15,HL,93680,2,,1903434,"COOPER, SCOTT T",UNIVERSITY OF WISCONSIN LA CROSSE,2012,303726
R15 AREA: REPLICATION IN THE PRESENCE OF OXIDATIVE DNA DAMAGE,NIEHS,1R15ES021594-01,1,R15,ES,21594,1,,9383873,"COURCELLE, JUSTIN ",PORTLAND STATE UNIVERSITY,2012,436500
INVESTIGATING THE MOLECULAR BASES OF CLASS-SPECIFIC DENDRITE MORPHOGENESIS,NIMH,2R15MH086928-02,2,R15,MH,86928,2,,8968461,"COX, DANIEL N",GEORGE MASON UNIVERSITY,2012,430660
FUNCTIONAL GENOMICS OF MYCOBACTERIUM ULCERANS BACTERIOPHAGES,NIAID,1R15AI082527-01A1,1,R15,AI,82527,1,A1,9506024,"CRESAWN, STEVEN GAINES",JAMES MADISON UNIVERSITY,2010,173022
AN INNOVATIVE APPROACH TO ASSESSING IMPLICIT PROCESSES IN PHYSICAL ABUSE RISK,NICHD,1R15HD069347-01A1,1,R15,HD,69347,1,A1,8228757,"CROUCH, JULIE LYNN",NORTHERN ILLINOIS UNIVERSITY,2012,418351
ANALYSIS OF THE TRANSCRIPTIONAL REGULATION AND EXPRESSION OF TRPML2,NINDS,1R15NS070774-01A1,1,R15,NS,70774,1,A1,7537071,"CUAJUNGCO, MATH P",CALIFORNIA STATE UNIVERSITY FULLERTON,2011,338855
CAPTURE AND CHARACTERIZATION OF SELF-TRANSMISSIBLE PLASMIDS FROM URBAN WETLANDS E,NIGMS,1R15GM102995-01A1,1,R15,GM,102995,1,A1,7694615,"CUMMINGS, DAVID EDWARD",POINT LOMA NAZARENE UNIVERSITY,2013,252509
GENETIC SUSCEPTIBILITY TO PCB-INDUCED MOTOR DYSFUNCTION,NIEHS,1R15ES020053-01A1,1,R15,ES,20053,1,A1,8110072,"CURRAN, CHRISTINE PERDAN",NORTHERN KENTUCKY UNIVERSITY,2012,401775
AREA: TRANSLATIONAL ROLES OF THE RIBOSOMAL E SITE,NIGMS,2R15GM077194-02,2,R15,GM,77194,2,,6184218,"CURRAN, JAMES F.",WAKE FOREST UNIVERSITY,2009,204951
PAX6; CTBP AND THE REGULATION OF TRANSCRIPTION IN DROSOPHILIA EYE SPECIFICATION,NEI,1R15EY021341-01A1,1,R15,EY,21341,1,A1,1895309,"CURTISS, JENNIFER R",NEW MEXICO STATE UNIVERSITY LAS CRUCES,2011,209724
ACCULTURATION; MOOD AND STRESS RESPONSE IN MEXICAN-AMERICAN MOTHER-INFANT DYADS,NIMH,1R15MH099498-01A1,1,R15,MH,99498,1,A1,10657624,"D'ANNA-HERNANDEZ, KIMBERLY LYNN",CALIFORNIA STATE UNIVERSITY SAN MARCOS,2014,441637
MATERNAL LOW PROTEIN DIET IMPRINTS LIPID METABOLISM IN THE ADULT OFFSPRING,NICHD,1R15HD066267-01,1,R15,HD,66267,1,,1989778,"D'MELLO, ANIL P",UNIVERSITY OF THE SCIENCES PHILADELPHIA,2010,355600
SCLERAXIS-DIRECTED STEM CELL DIFFERENTIATION FOR LIGAMENT TISSUE ENGINEERING,NIAMS,1R15AR057575-01A1,1,R15,AR,57575,1,A1,8342857,"DAHLGREN, LINDA ANN",VIRGINIA POLYTECHNIC INST AND ST UNIV,2010,211473
CPNA'S ROLE IN CAMP SIGNALING AND THE ACTIN CYTOSKELETON IN DICTYOSTELIUM,NIGMS,2R15GM078089-02,2,R15,GM,78089,2,,1904904,"DAMER, CYNTHIA K",CENTRAL MICHIGAN UNIVERSITY,2013,313953
VEGF REGULATION OF NEUROGENESIS,NINDS,2R15NS057807-02,2,R15,NS,57807,2,,1932947,"DARLAND, DIANE CATHERINE",UNIVERSITY OF NORTH DAKOTA,2011,310500
CAPSAICIN AND SMALL CELL LUNG CANCER THERAPY,NCI,1R15CA161491-01A1,1,R15,CA,161491,1,A1,9194184,"DASGUPTA, PIYALI ",MARSHALL UNIVERSITY,2012,426000
IDENTIFICATION OF PROTEINS FROM MASS SPECTROMETRY DATA: A STATISTICAL APPROACH,NCI,1R15CA170091-01A1,1,R15,CA,170091,1,A1,1859011,"DATTA, SUSMITA ",UNIVERSITY OF LOUISVILLE RES FDN,2013,463508
UNDERSTANDING THE ROLE OF THE CLASS II ACTIVATOR; CIITA; IN SKELETAL MUSCLE,NIAMS,1R15AR060017-01A1,1,R15,AR,60017,1,A1,9347701,"DAVIE, JUDITH KIMBERLY",SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,2011,392850
SIGNAL TRANSDUCTION MECHANISM OF PS. AERUGINOSA BIOFILM DISPERSION RESPONSE,NIAID,1R15AI094485-01,1,R15,AI,94485,1,,6801886,"DAVIES, DAVID G","STATE UNIVERSITY OF NY,BINGHAMTON",2011,442416
WAYFINDING IN AGING AND ALZHEIMER'S DISEASE WITHIN A VIRTUAL SENIOR RESIDENCE,NIA,1R15AG037946-01A1,1,R15,AG,37946,1,A1,9878837,"DAVIS, REBECCA ",GRAND VALLEY STATE UNIVERSITY,2012,316073
DYNAMIC BLOOD PRESSURE CONTROL AND ORTHOSTATIC TOLERANCE IN INDIVIDUALS WITH MS A,NHLBI,1R15HL117224-01,1,R15,HL,117224,1,,7793934,"DAVIS, SCOTT L",SOUTHERN METHODIST UNIVERSITY,2013,378338
ROLE OF SLIT MOLECULES IN NEURAL CREST DELAMINATION,NINDS,2R15NS060099-02A1,2,R15,NS,60099,2,A1,8529324,"DE BELLARD, MARIA ELENA",CALIFORNIA STATE UNIVERSITY NORTHRIDGE,2011,420150
ADAPTATIONS TO ROBOTIC RESISTANCE DURING TREADMILL TRAINING IN SCI RATS,NINDS,1R15NS082711-01A1,1,R15,NS,82711,1,A1,3054554,"DE LEON, RAY D",CALIFORNIA STATE UNIVERSITY LOS ANGELES,2013,388200
TRANSLATING CBT-INSOMNIA FOR LUNG CANCER INTO PRACTICE: A RCT,NINR,1R15NR013779-01A1,1,R15,NR,13779,1,A1,9072113,"DEAN, GRACE E",STATE UNIVERSITY OF NEW YORK AT BUFFALO,2013,485532
NEW METHODS FOR SYNTHESIS VIA OXIDATIVE COUPLING,NIGMS,1R15GM097708-01,1,R15,GM,97708,1,,8656949,"DEBOEF, BRENTON L.",UNIVERSITY OF RHODE ISLAND,2011,328608
ANTI-CANCER RNA NANOCONJUGATES,NCI,2R15CA139390-02,2,R15,CA,139390,2,,1870194,"DELONG, ROBERT K ",MISSOURI STATE UNIVERSITY,2013,398649
CHARACTERIZATION OF THE MRNP CLOSED-LOOP STRUCTURE,NIGMS,3R15GM106286-01S1,3,R15,GM,106286,1,S1,1876830,"DENIS, CLYDE L",UNIVERSITY OF NEW HAMPSHIRE,2013,3348
CHARACTERIZATION OF THE MRNP CLOSED-LOOP STRUCTURE,NIGMS,1R15GM106286-01,1,R15,GM,106286,1,,1876830,"DENIS, CLYDE L",UNIVERSITY OF NEW HAMPSHIRE,2013,331228
SEX SPECIFIC ADAPTATIONS TO MUSCLE UNLOADING,NIAMS,9R15AR060637-03,9,R15,AR,60637,3,,1904376,"DESCHENES, MICHAEL R",COLLEGE OF WILLIAM AND MARY,2010,193050
MOLECULAR INSIGHTS INTO ACTIVATION AND SUBSTRATE RECOGNITION OF PROTEIN KINASE R,NIGMS,1R15GM101575-01,1,R15,GM,101575,1,,10310271,"DEY, MADHUSUDAN ",UNIVERSITY OF WISCONSIN MILWAUKEE,2012,334541
MOLECULAR ACTIVITIES OF ANGIOGENIN IN THE NUCLEUS,NIGMS,1R15GM100439-01,1,R15,GM,100439,1,,10834601,"DICKSON, KIMBERLY ANNE",LAWRENCE UNIVERSITY,2012,307573
INFLUENCES OF PARENTAL SMOKING ON PRE-TEEN REACTIVITY TO SMOKING-RELATED STIMULI,NICHD,1R15HD071486-01,1,R15,HD,71486,1,,9742539,"DICKTER, CHERYL LYNNE ",COLLEGE OF WILLIAM AND MARY,2012,442757
12/15 LIPOXYGENASES ROLE IN INFLAMMATION AND ANGIOGENESIS IN HUMAN ADIPOSE TISSUE,NHLBI,1R15HL114062-01A1,1,R15,HL,114062,1,A1,7129735,"DOBRIAN, ANCA D",EASTERN VIRGINIA MEDICAL SCHOOL,2013,366250
ELANE AND CSF3R MUTATIONS IN SEVERE CONGENITAL NEUTROPENIA,NHLBI,1R15HL112183-01A1,1,R15,HL,112183,1,A1,6483210,"DONG, FAN ",UNIVERSITY OF TOLEDO,2012,436500
ENHANCED FRACTURE RISK ASSESSMENT OF SPINE USING STOCHASTICALLY TREATED DXA IMAGE,NIAMS,1R15AR061740-01A1,1,R15,AR,61740,1,A1,10651446,"DONG, XUANLIANG NEIL",UNIVERSITY OF TEXAS TYLER,2012,384728
EOSINOPHIL TRAFFICKING IN FUNGAL ALLERGIC ASTHMA,NIAID,1R15AI101968-01A1,1,R15,AI,101968,1,A1,6434882,"DORSAM, GLENN PAUL",NORTH DAKOTA STATE UNIVERSITY,2013,434750
FUNCTIONAL CHARACTERIZATION OF MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN COMPLEXES,NIGMS,1R15GM096279-01,1,R15,GM,96279,1,,6916236,"DOWNES, BRIAN PATRICK",SAINT LOUIS UNIVERSITY,2011,285000
REGULATION OF MAMMALIAN OOCYTE MATURATION,NICHD,1R15HD061858-01A1,1,R15,HD,61858,1,A1,1863103,"DOWNS, STEPHEN M",MARQUETTE UNIVERSITY,2010,223500
TESTING ORAL DELIVERY OF THE APPETITE SUPPRESSING PEPTIDE PYY3-36 THROUGH THE VIT,NIDDK,1R15DK097675-01A1,1,R15,DK,97675,1,A1,8870622,"DOYLE, ROBERT P.",SYRACUSE UNIVERSITY,2013,221352
QUANTITATIVE EVALUATION OF THE NIR-MEDIATED PHOTO-THERMAL ABLATION OF TUMOR CELLS,NCI,1R15CA152917-01A1,1,R15,CA,152917,1,A1,1898403,"DRAPER, ROCKFORD KEITH",UNIVERSITY OF TEXAS DALLAS,2011,473745
TARGETING CENTRAL A1 ADENOSINE RECEPTORS INDUCES HYPOTHERMIA FOR STROKE,NINDS,2R15NS070779-02,2,R15,NS,70779,2,,1904136,"DREW, KELLY L",UNIVERSITY OF ALASKA FAIRBANKS,2013,448500
MOLECULAR DISSECTION OF DROSOPHILA HOX GENE CIS-REGULATORY MODULES,NIGMS,1R15GM090167-01,1,R15,GM,90167,1,,8246258,"DREWELL, ROBERT A",HARVEY MUDD COLLEGE,2010,208511
THE ROLE OF PRE-TRNA 3-PRIME END PROCESSING DURING DROSOPHILA DEVELOPMENT,NIGMS,1R15GM097716-01A1,1,R15,GM,97716,1,A1,10225774,"DUBROVSKY, EDWARD BORIS",FORDHAM UNIVERSITY,2012,324541
INTERRELATIONSHIPS BETWEEN HOST PHYSIOLOGY AND THE GUT MICROBIAL COMMUNITY:  DISC,NIGMS,1R15GM098938-01A1,1,R15,GM,98938,1,A1,10499602,"DUDDLESTON, KHRYSTYNE ",UNIVERSITY OF ALASKA ANCHORAGE,2012,284412
COGNITIVE BIASES IN THE PERCEPTION OF SPATIAL ORIENTATION,NEI,2R15EY021026-02,2,R15,EY,21026,2,,10212881,"DURGIN, FRANK H.",SWARTHMORE COLLEGE,2013,349200
CLICK-FLUORESCENT DYES FOR SOLUBLE AMYLOID OLIGOMERS,NIA,1R15AG038977-01,1,R15,AG,38977,1,,9515815,"DZYUBA, SERGEI ",TEXAS CHRISTIAN UNIVERSITY,2011,166837
IDENTIFICATION OF GPR55 CELLULAR EXPRESSION WITHIN HIPPOCAMPAL CELLS AND ITS PHYS,NINDS,1R15NS078645-01,1,R15,NS,78645,1,,7892118,"EDWARDS, JEFFREY G",BRIGHAM YOUNG UNIVERSITY,2012,362500
STRATEGIES FOR TARGETING SUB-GLYCOPROTEOMICS,NIGMS,1R15GM096286-01,1,R15,GM,96286,1,,7735206,"EL RASSI, ZIAD ",OKLAHOMA STATE UNIVERSITY STILLWATER,2011,265978
DESIGN OF NOVEL C-MET INHIBITORS INSPIRED BY OLIVE PHENOLICS,NCI,1R15CA167475-01A1,1,R15,CA,167475,1,A1,7584203,"EL SAYED, KHALID A",UNIVERSITY OF LOUISIANA AT MONROE,2013,420540
BIOFILM DISSEMINATION IN STAPHYLOCOCCUS AUREUS,NIAID,1R15AI099922-01A1,1,R15,AI,99922,1,A1,8044606,"ELASRI, MOHAMED OMAR",UNIVERSITY OF SOUTHERN MISSISSIPPI,2013,439500
TLR4-DEPENDENT REPROGRAMMING OF TRANSLATION REGULATES ACUTE SYSTEMIC INFLAMMATION,NIGMS,1R15GM100322-01,1,R15,GM,100322,1,,9201099,"ELGAZZAR, MOHAMED A.",EAST TENNESSEE STATE UNIVERSITY,2012,344340
CHARACTERIZATION AND DESIGN OF HISTONE-DERIVED ANTIMICROBIAL PEPTIDES,NIAID,1R15AI079685-01A2,1,R15,AI,79685,1,A2,9242452,"ELMORE, DONALD E.",WELLESLEY COLLEGE,2010,221126
NANOCARRIERS FOR INTRA-ARTICULAR DRUG DELIVERY FOLLOWING ACL INJURY,NIAMS,1R15AR061722-01,1,R15,AR,61722,1,,10461058,"ELSAID, KHALED AHMED ",MASS COLLEGE OF PHARM HEALTH SCIENCES,2011,298307
THERAPEUTIC EFFECT OF A NOVEL ANTIOXIDANT ON DEGENERATIVE EYE DISORDERS,NEI,1R15EY022218-01A1,1,R15,EY,22218,1,A1,1880370,"ERCAL, NURAN ",MISSOURI UNIVERSITY OF SCIENCE & TECHNOL,2012,378750
MONITORING NANOPARTICLE BIOLOGY IN VIVO: UNIQUE OPPORTUNITIES IN THE AVIAN SYSTEM,NIBIB,1R15EB015187-01A1,1,R15,EB,15187,1,A1,1967880,"ERF, GISELA F",UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,2013,338462
IDENTIFICATION OF BACTERIAL RESISTANCE MECHANISMS TO ANTIMICROBIAL CHEMOKINES,NIAID,1R15AI101958-01,1,R15,AI,101958,1,,9373468,"ERICKSON, DAVID L.",BRIGHAM YOUNG UNIVERSITY,2012,375000
TARGETED NANOPARTICLES FOR THE DETECTION AND TREATMENT OF CEREBRAL AMYLOID,NIA,1R15AG039008-01,1,R15,AG,39008,1,,8531181,"ERIKSEN, JASON ",UNIVERSITY OF HOUSTON,2011,369000
IDENTIFYING COMMUNITY-BASED SOLUTIONS THAT IMPROVE INSECTICIDE-TREATED NET (ITN),NIAID,1R15AI100118-01,1,R15,AI,100118,1,,9406830,"ERNST, KACEY C",UNIVERSITY OF ARIZONA,2012,376116
EXPERIMENTAL ONCOLYTIC VIROTHERAPY AND COLORECTAL CANCER,NCI,1R15CA156262-01,1,R15,CA,156262,1,,8026132,"ESSANI, KARIM ",WESTERN MICHIGAN UNIVERSITY,2011,393313
REGULATION OF CARDIAC MYOCYTE PROLIFERATION AND MYOCARDIAL REGENERATION IN CIONA,NHLBI,1R15HL104587-01,1,R15,HL,104587,1,,10253778,"EVANS-ANDERSON, HEATHER J.",WINTHROP UNIVERSITY,2010,417319
ISOFORM-SPECIFIC REGULATION AND LOCALIZATION OF THE COXSACKIE AND ADENOVIRUS RECE,NIAID,1R15AI090625-01,1,R15,AI,90625,1,,10186424,"EXCOFFON, KATHERINE JULIE",WRIGHT STATE UNIVERSITY,2010,437167
IN VIVO AND CRUDE EXTRACT ANALYSIS OF POLYQ AGGREGATION INTERMEDIATES,NINDS,1R15NS081681-01,1,R15,NS,81681,1,,11185003,"FAIRMAN, ROBERT ",HAVERFORD COLLEGE,2012,350612
OLIGODEOXYNUCLEOTIDE SYNTHESIS USING PROTECTING GROUPS AND A LINKER CLEAVABLE UND,NIGMS,1R15GM109288-01,1,R15,GM,109288,1,,8476915,"FANG, SHIYUE ",MICHIGAN TECHNOLOGICAL UNIVERSITY,2014,333631
SPORES AS A PROTEIN  DISPLAY PLATFORM FOR DIRECTED EVOLUTION OF MEMBRANE PROTEINS,NIGMS,1R15GM101610-01,1,R15,GM,101610,1,,2095031,"FARINAS, EDGARDO T",NEW JERSEY INSTITUTE OF TECHNOLOGY,2012,336517
GENOMIC PROFILING OF YEAST RESISTANCE TO HETEROCYLIC AROMATIC AMINES,NIEHS,1R15ES023685-01,1,R15,ES,23685,1,,1869474,"FASULLO, MICHAEL THOMAS",STATE UNIVERSITY OF NEW YORK AT ALBANY,2014,448996
MECHANISMS OF ELECTRON TRANSFER IN NITRIC OXIDE SYNTHASES,NIGMS,2R15GM081811-02A1,2,R15,GM,81811,2,A1,8623741,"FENG, CHANGJIAN ",UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,2012,332200
GLIAL REMODELING IN DROSOPHILA: PROLIFERATION; MEMBRANE OUTGROWTH AND NERVE ENSHE,NICHD,1R15HD071799-01,1,R15,HD,71799,1,,7113851,"FERNANDES, JOYCE J",MIAMI UNIVERSITY OXFORD,2012,355000
MODULATION OF PIGMENT EPITHELIUM-DERIVED FACTOR'S ACTIVITIES AS POTENTIAL THERAPE,NCI,3R15CA161634-01A1S1,3,R15,CA,161634,1,A1S1,8824832,"FILLEUR, STEPHANIE STEPHANIE ",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,2013,50167
MODULATION OF PIGMENT EPITHELIUM-DERIVED FACTOR'S ACTIVITIES AS POTENTIAL THERAPE,NCI,1R15CA161634-01A1,1,R15,CA,161634,1,A1,8824832,"FILLEUR, STEPHANIE STEPHANIE ",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,2012,445500
BCL11B TRANSCRIPTION FACTOR REGULATION BY PHOSPHORYLATION AND SUMOYLATION,NIGMS,1R15GM096243-01,1,R15,GM,96243,1,,1924076,"FILTZ, THERESA M",OREGON STATE UNIVERSITY,2011,292000
ELUCIDATING MECHANISMS GOVERNING TRANSCRIPTIONAL REGULATION OF THE HUMAN LAT GENE,NIGMS,1R15GM107734-01,1,R15,GM,107734,1,,1932196,"FINCO, TIMOTHY S",AGNES SCOTT COLLEGE,2013,309482
BEHAVIORAL AND NEUROCHEMICAL EFFECTS OF CORTICAL NMDA RECEPTOR DYSFUNCTION: IMPLI,NIMH,1R15MH091630-01,1,R15,MH,91630,1,,1897020,"FINLAY, JANET M",WESTERN WASHINGTON UNIVERSITY,2010,372736
REGULATION OF GLUCOSE TRANSPORTERS IN SKELETAL MUSCLE,NIDDK,1R15DK091904-01,1,R15,DK,91904,1,,3096341,"FISHER, JONATHAN S",SAINT LOUIS UNIVERSITY,2011,388238
ROLE OF OXIDATIVE STRESS AND PROTEIN TRANSPORTERS IN GLYPHOSATE AND MANCOZEB NEUR,NIEHS,2R15ES015628-02A1,2,R15,ES,15628,2,A1,3101219,"FITSANAKIS, VANESSA A",KING UNIVERSITY,2012,300000
EFFECTS OF HERBICIDE EXPOSURE ON MALE REPRODUCTION IN DROSOPHILA MELANOGASTER,NIEHS,1R15ES020051-01,1,R15,ES,20051,1,,3062075,"FIUMERA, ANTHONY C","STATE UNIVERSITY OF NY,BINGHAMTON",2011,440261
DEVELOPING ISONITRILE CHEMISTRY FOR MEDICINAL APPLICATIONS,NIAID,2R15AI051352-04,2,R15,AI,51352,4,,1964648,"FLEMING, FRASER FERGUSSON",DUQUESNE UNIVERSITY,2012,463200
MECHANISM BASED DESIGN OF CE(IV) MEDIATED REACTIONS,NIGMS,2R15GM075960-03,2,R15,GM,75960,3,,3122706,"FLOWERS, ROBERT A",LEHIGH UNIVERSITY,2011,333667
CFTR REGULATION OF THYROID TRANSPORT,NIGMS,1R15GM101674-01A1,1,R15,GM,101674,1,A1,1901344,"FONG, PEYING ",KANSAS STATE UNIVERSITY,2013,285000
ROLE OF GENOME PLASTICITY IN CANDIDA ALBICANS DURING HOST-PATHOGEN INTERACTIONS,NIAID,1R15AI090633-01A1,1,R15,AI,90633,1,A1,9825723,"FORCHE, ANJA ",BOWDOIN COLLEGE,2011,364019
MULTI-TARGET; MECHANISM-BASED DRUG DESIGN FOR THE TREATMENT OF BREAST CANCER: SYN,NCI,1R15CA159059-01,1,R15,CA,159059,1,,6108672,"FOROOZESH, MARYAM ",XAVIER UNIVERSITY OF LOUISIANA,2011,370195
EVOLUTION OF A BACTERIAL GENOME ENCODING INCREASED VIRULENCE: THE GENOMICS OF HEL,NIAID,2R15AI053062-04,2,R15,AI,53062,4,,7029462,"FORSYTH, MARK H",COLLEGE OF WILLIAM AND MARY,2012,346000
DOPAMINE TRANSPORTER PALMITOYLATION,NIDA,1R15DA031991-01,1,R15,DA,31991,1,,6474029,"FOSTER, JAMES DARREN",UNIVERSITY OF NORTH DAKOTA,2011,405860
MICROBIAL ECOLOGY IN THE CHRONIC RHINOSINUSITIS MICROBIOME,NIDCR,1R15DE021194-01,1,R15,DE,21194,1,,9345316,"FOSTER, JEFFREY T.",NORTHERN ARIZONA UNIVERSITY,2010,484888
A PILOT STUDY OF YOGA FOR BREATHING AND QUALITY OF LIFE OF LUNG CANCER PATIENTS,NCI,1R15CA169994-01A1,1,R15,CA,169994,1,A1,9842430,"FOULADBAKHSH, JUDITH ",WAYNE STATE UNIVERSITY,2013,421101
TO FEED OR BREED? GNIH-3 STIMULATES FOOD INTAKE IN RATS,NIDDK,1R15DK096541-01A1,1,R15,DK,96541,1,A1,2995013,"FRALEY, GREGORY SCOTT",HOPE COLLEGE,2013,240301
STIMULATION OF BROADLY NEUTRALIZING ANTIBODIES AGAINST INFLUENZA IN A PIG MODEL,NIAID,1R15AI089690-01A1,1,R15,AI,89690,1,A1,9517055,"FRANCIS, DAVID HULET ",SOUTH DAKOTA STATE UNIVERSITY,2011,424180
MOLECULAR BIOMARKERS OF EXPOSURE TO AN ENDOCRINE DISRUPTING HERBICIDE,NIEHS,2R15ES019137-02,2,R15,ES,19137,2,,8304190,"FREEMAN, JENNIFER L",PURDUE UNIVERSITY WEST LAFAYETTE,2013,450144
SENSORY INNERVATION-DEPENDENT TRANSCRIPTIONAL REGULATION IN MUSCLE,NINDS,1R15NS072786-01,1,R15,NS,72786,1,,6937432,"FROMM, LARRY B",BALL STATE UNIVERSITY,2010,433500
BIOLOGICAL CHEMISTRY AND PHARMACOLOGY OF NITROXYL (HNO),NHLBI,1R15HL106598-01A1,1,R15,HL,106598,1,A1,10410342,"FUKUTO, JON ",SONOMA STATE UNIVERSITY,2012,356987
THE EFFECT OF GENETIC DIVERSITY ON MECHANISM-BASED INACTIVATION OF CYP2D6,NIGMS,2R15GM086767-02,2,R15,GM,86767,2,,1953199,"FURGE, LAURA L",KALAMAZOO COLLEGE,2013,342321
EPH-EPRHIN SIGNALING IN MAPPING AUDITORY MIDBRAIN CIRCUITRY,NIDCD,1R15DC012421-01,1,R15,DC,12421,1,,10829129,"GABRIELE, MARK LAWRENCE",JAMES MADISON UNIVERSITY,2012,320135
REGULATION AND FUNCTION OF NUCLEAR ENVELOPE PROTEINS IN MYELOPOIESIS AND LEUKEMIA,NHLBI,1R15HL104593-01,1,R15,HL,104593,1,,8613040,"GAINES, PETER CHARLES WIGRAM",UNIVERSITY OF MASSACHUSETTS LOWELL,2010,330570
DRUGS OF ABUSE AND MEMORY SPAN,NIDA,3R15DA029252-01S1,3,R15,DA,29252,1,S1,1967655,"GALIZIO, JOSEPH MARK",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2012,16200
DRUGS OF ABUSE AND MEMORY SPAN,NIDA,1R15DA029252-01,1,R15,DA,29252,1,,1967655,"GALIZIO, JOSEPH MARK",UNIVERSITY OF NORTH CAROLINA WILMINGTON,2010,216000
WHOLE FAMILY BIOPSYCHOLOGY AS A MARKER FOR ADJUSTMENT,NICHD,1R15HD061796-01A1,1,R15,HD,61796,1,A1,1896441,"GANS, SUSAN E ",WEST CHESTER UNIVERSITY OF PENNSYLVANIA,2010,215400
DISCOVERING BIOMEDICALLY SIGNIFICANT SPIDER VENOM TOXINS WITH GENOMICS,NIGMS,1R15GM097714-01,1,R15,GM,97714,1,,10291732,"GARB, JESSICA ELLEN",UNIVERSITY OF MASSACHUSETTS LOWELL,2011,294656
NERVOUS SYSTEM REGENERATION; MOLECULAR BASIS IN ECHINODERMS,NINDS,1R15NS081686-01,1,R15,NS,81686,1,,1929101,"GARCIA-ARRARAS, JOSE E",UNIVERSITY OF PUERTO RICO RIO PIEDRAS,2013,444000
CELL STRUCTURE-FUNCTION OF NA PUMP ASSEMBLY,NIGMS,2R15GM061583-03A1,2,R15,GM,61583,3,A1,1917377,"GATTO, CRAIG ",ILLINOIS STATE UNIVERSITY,2011,331200
ANTIMICROBIAL EFFECT OF A NEW CLASS OF LIGHT RESISTANT SILVER(I) COMPLEXES ADHESI,NIAID,3R15AI088594-01A1S1,3,R15,AI,88594,1,A1S1,10075015,"GERASIMCHUK, NIKOLAY NIKOLAEVICH ",MISSOURI STATE UNIVERSITY,2013,26862
ANTIMICROBIAL EFFECT OF A NEW CLASS OF LIGHT RESISTANT SILVER(I) COMPLEXES ADHESI,NIAID,1R15AI088594-01A1,1,R15,AI,88594,1,A1,10075015,"GERASIMCHUK, NIKOLAY NIKOLAEVICH ",MISSOURI STATE UNIVERSITY,2012,396264
TRANSLATIONAL CONTROL DURING FETAL MALE GERM CELL DEVELOPMENT,NICHD,1R15HD072552-01,1,R15,HD,72552,1,,10920679,"GEYER, CHRIS BENNETT",EAST CAROLINA UNIVERSITY,2012,432837
IDENTIFYING GENE FUNCTIONS AT LATE ENDOSOME AND LYSOSOME IN YEAST,NIGMS,2R15GM085794-02,2,R15,GM,85794,2,,1930794,"GHARAKHANIAN, EDITTE ",CALIFORNIA STATE UNIVERSITY LONG BEACH,2011,332350
